customerid,gender,paperlessbilling,paymentmethod,children,contract_date,married,birth_date,churn_date,country,zipcode,contract_channel,billing_date,monthlycharges,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,phone_lines,streaming,date,tenure_months,tenure_penalty,age
00bf3591c27808bc0ccf7997f536b47a,Male,Yes,Electronic check,0,2021-11-03,No,1952-08-13,2023-03-10,ES,34102,Phone,2023-01-31,74.95,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,74.83,72
00c02bdcec04996d891a04446ac7f8b3,Male,Yes,Bank transfer (automatic),0,2017-01-28,Yes,1973-09-20,,ES,29648,Internet,2023-01-31,100.55,Fiber optic,Yes,Yes,No,Yes,2.0,Yes,2023-01-31,8,93.43,51
00cabce09713020ac0f19938b84fc97d,Male,No,Mailed check,0,2017-08-25,No,1979-07-05,,ES,34109,Store,2023-01-31,25.75,No,No internet service,No internet service,No internet service,No internet service,2.0,No,2023-01-31,6,109.41,45
00f523a2b72ea13a45c15fe23ca5216e,Male,Yes,Electronic check,2,2020-07-04,Yes,2008-01-25,2023-07-01,ES,23203,Phone,2023-01-31,94.4,Fiber optic,Yes,Yes,No,No,2.0,Yes,2023-01-31,2,27.09,16
00fb54e3d5bcae6738031de86ebd17ff,Female,Yes,Credit card (automatic),0,2017-02-20,Yes,2006-09-12,,ES,25499,Phone,2023-01-31,25.95,No,No internet service,No internet service,No internet service,No internet service,2.0,No,2023-01-31,11,207.93,18
011f3a4d83bcba548c32c46fe1471999,Male,No,Credit card (automatic),0,2020-07-17,Yes,1976-07-08,,ES,41434,Store,2023-01-31,19.8,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,11,259.63,48
012650f2e4fc56b0e54ae9f07c5ea11f,Female,No,Mailed check,0,2022-12-06,No,1985-10-02,,ES,15475,Internet,2023-01-31,19.9,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,14,185.77,39
012af20e8b47c63dec3c3db310f250f1,Female,No,Mailed check,0,2020-06-07,No,2009-08-05,,ES,50125,Phone,2023-01-31,79.2,DSL,No,Yes,Yes,Yes,1.0,Yes,2023-01-31,8,191.44,15
012bf768cbb7ea625d6928688fc0912d,Female,Yes,Electronic check,0,2021-09-13,No,1939-10-23,2023-04-20,ES,46615,Internet,2023-01-31,84.75,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,4,49.08,85
013d0ccb89a32cd7ec4619cfdad7cbd4,Female,Yes,Mailed check,2,2017-09-20,Yes,1986-08-28,,ES,20503,Store,2023-01-31,90.6,DSL,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,3,50.01,38
013debbab145fa983d6bc9621c5cbe88,Male,Yes,Electronic check,0,2020-08-18,Yes,2010-06-06,,ES,11193,Store,2023-01-31,85.8,Fiber optic,No,Yes,Yes,No,2.0,No,2023-01-31,9,155.04,14
013e2ec7b34d3f0e4163e9bffee8ab43,Female,No,Credit card (automatic),0,2022-08-04,No,2004-10-14,,ES,37505,Internet,2023-01-31,55.8,DSL,Yes,No,Yes,No,1.0,No,2023-01-31,12,231.1,20
01409e2d4d61342fe1b80e82e6582f54,Female,Yes,Electronic check,0,2018-03-15,No,2007-11-02,,ES,12508,Phone,2023-01-31,107.75,Fiber optic,Yes,Yes,Yes,No,2.0,Yes,2023-01-31,14,345.77,17
0143e5c97948b53343e312ccbed4bfba,Male,Yes,Mailed check,0,2022-10-25,No,1993-04-10,,ES,50036,Phone,2023-01-31,65.25,DSL,No,No,No,Yes,2.0,Yes,2023-01-31,9,91.1,31
01443a92fc337c588756a082cd503e6e,Female,Yes,Electronic check,0,2022-05-16,No,1935-09-01,2023-03-25,ES,27527,Phone,2023-01-31,92.1,Fiber optic,No,No,Yes,No,1.0,Yes,2023-01-31,2,21.53,89
0154cf285baf4efd44ef03c07983d3c0,Female,Yes,Electronic check,0,2022-07-10,Yes,2000-08-06,2023-09-26,ES,29407,Phone,2023-01-31,49.15,DSL,No,No,No,Yes,1.0,No,2023-01-31,4,97.46,24
017a95de575fa90a49a32e1df4ba80a8,Male,Yes,Bank transfer (automatic),0,2017-10-21,Yes,1953-07-23,,ES,51095,Phone,2023-01-31,84.0,DSL,Yes,Yes,Yes,Yes,1.0,Yes,2023-01-31,8,105.52,71
017d758fb1d7b1ebfcb28caa56c16946,Female,No,Mailed check,0,2022-12-16,No,1953-11-14,2023-06-13,ES,02434,Store,2023-01-31,25.05,DSL,No,No,No,No,0.0,No,2023-01-31,4,52.24,71
018173386b403ab3791c1ece4ff70eb0,Male,No,Credit card (automatic),0,2020-12-23,No,1991-02-15,,ES,42539,Phone,2023-01-31,19.9,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,9,207.97,33
0186abfa5c4ca75530939153a1f14eee,Female,Yes,Mailed check,0,2022-02-23,No,1993-09-09,,ES,36203,Store,2023-01-31,58.95,DSL,No,No,No,No,2.0,Yes,2023-01-31,8,172.55,31
019c76682e5290ad4d6a051482e80a97,Female,Yes,Mailed check,0,2018-08-03,No,1948-07-16,,ES,27237,Store,2023-01-31,96.75,Fiber optic,Yes,Yes,No,Yes,1.0,Yes,2023-01-31,5,70.73,76
019f16e2e80e83558d51ad4b478c900b,Female,No,Electronic check,0,2018-11-14,Yes,1942-11-09,,ES,39180,Phone,2023-01-31,25.2,No,No internet service,No internet service,No internet service,No internet service,2.0,No,2023-01-31,5,116.19,82
019f87c139db70e501f7abddb689bdd7,Female,No,Bank transfer (automatic),0,2019-10-05,No,2009-04-20,,ES,46436,Internet,2023-01-31,41.15,DSL,Yes,Yes,No,Yes,0.0,No,2023-01-31,13,232.67,15
01c5cd13ef11022d3187f1f15dc125a4,Female,No,Credit card (automatic),1,2017-02-23,Yes,1987-03-21,,ES,19299,Phone,2023-01-31,23.9,No,No internet service,No internet service,No internet service,No internet service,2.0,No,2023-01-31,13,261.47,37
01c916abb35738ab841be80a72844884,Female,No,Mailed check,0,2022-04-13,No,1997-07-02,,ES,43114,Internet,2023-01-31,19.05,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,13,171.03,27
01cc5ecb5b76f7ecf3e48431708175c1,Female,Yes,Mailed check,0,2017-12-17,No,1980-07-11,,ES,05050,Internet,2023-01-31,115.1,Fiber optic,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,5,50.75,44
01d5e679fbc93f2166f01f6807774654,Female,No,Credit card (automatic),0,2022-11-24,No,1970-04-24,,ES,39107,Store,2023-01-31,20.35,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,11,206.14,54
01f427410141f5c7150d89b593f48828,Female,Yes,Electronic check,0,2018-03-19,Yes,1995-10-01,,ES,31581,Internet,2023-01-31,94.3,Fiber optic,No,Yes,Yes,No,2.0,Yes,2023-01-31,6,75.36,29
0210e36448f0a7675fa1dc11278ba881,Female,Yes,Bank transfer (automatic),0,2019-12-20,No,1971-11-08,2023-05-02,ES,48170,Store,2023-01-31,101.9,Fiber optic,No,Yes,Yes,No,2.0,Yes,2023-01-31,2,37.77,53
02172e3fab54e72d2acb1aaca1709d08,Male,Yes,Electronic check,1,2017-07-08,Yes,1968-12-04,,ES,24367,Phone,2023-01-31,75.1,DSL,Yes,Yes,Yes,Yes,1.0,Yes,2023-01-31,6,76.67,56
02234574e56333b532b965d85df6568b,Female,No,Credit card (automatic),0,2017-02-21,No,1979-11-14,,ES,13644,Internet,2023-01-31,77.35,DSL,Yes,Yes,Yes,Yes,1.0,Yes,2023-01-31,10,107.21,45
02314c9c9cfe7eb2b69ecaeabb7e2e3b,Male,Yes,Bank transfer (automatic),1,2019-11-07,Yes,2009-01-12,,ES,13212,Phone,2023-01-31,85.4,DSL,Yes,No,Yes,Yes,2.0,Yes,2023-01-31,9,181.27,15
02597c198f6cea893690de263246cf6c,Male,Yes,Credit card (automatic),0,2022-04-06,No,1955-06-24,2023-06-15,ES,15347,Internet,2023-01-31,84.4,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,3,69.08,69
025fd2bd2302bd284d929c43c271ec67,Female,No,Mailed check,0,2022-10-28,No,2002-02-08,,ES,17300,Phone,2023-01-31,19.95,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,4,42.33,22
026049159e9972402919817176e9f176,Male,No,Mailed check,0,2022-07-09,No,1968-03-19,,ES,45255,Phone,2023-01-31,20.65,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,6,130.78,56
02663bb98d3c6e151f7a232e212d7b76,Male,Yes,Electronic check,0,2022-10-18,No,1948-08-09,2023-05-08,ES,40605,Internet,2023-01-31,79.9,Fiber optic,No,No,No,No,1.0,Yes,2023-01-31,2,20.45,76
0279a6b76c9b0f86ab44a6cd8b6e410a,Female,Yes,Bank transfer (automatic),0,2017-01-21,No,1936-04-09,,ES,33206,Store,2023-01-31,107.4,Fiber optic,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,8,161.37,88
0283f1b2456f48939dfa432506256be9,Female,No,Mailed check,2,2020-12-27,Yes,1981-11-27,,ES,30229,Internet,2023-01-31,20.1,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,9,160.44,43
02890501dccc4b3f77fc3065bcdae59b,Female,Yes,Electronic check,0,2022-10-16,No,1959-01-19,2023-09-18,ES,42492,Store,2023-01-31,70.3,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,30.89,65
02b93f5067a70c8709332d79459b05e1,Male,No,Mailed check,2,2019-02-18,Yes,1964-10-06,,ES,50259,Store,2023-01-31,20.05,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,14,260.88,60
02c083a7b6623473b485ed632d82f103,Female,No,Credit card (automatic),1,2017-02-03,Yes,1983-06-17,,ES,31101,Store,2023-01-31,19.7,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,14,256.16,41
02eeff6c9560092547ba928c03c8294a,Male,No,Bank transfer (automatic),2,2020-09-14,Yes,1979-02-09,,ES,21094,Phone,2023-01-31,100.35,Fiber optic,No,Yes,Yes,No,1.0,Yes,2023-01-31,7,80.56,45
02f6a050c7ac7ca26757629905e3c248,Male,Yes,Bank transfer (automatic),2,2018-12-03,No,1995-11-07,2023-07-16,ES,32193,Store,2023-01-31,100.6,Fiber optic,No,No,No,Yes,2.0,Yes,2023-01-31,3,62.04,29
030381aff8562f3bb48a905e3175dc5f,Male,Yes,Electronic check,0,2020-03-16,Yes,1974-02-08,2023-03-19,ES,47064,Store,2023-01-31,100.05,Fiber optic,No,No,Yes,No,2.0,Yes,2023-01-31,1,23.22,50
0311e4fae45900114984bf43e66c0e7b,Female,No,Electronic check,0,2022-12-18,No,2009-02-25,2023-09-08,ES,05100,Phone,2023-01-31,75.3,Fiber optic,No,No,Yes,No,1.0,No,2023-01-31,4,48.14,15
0312adf024be73d2253d94c34a93a919,Female,No,Electronic check,0,2020-03-10,Yes,1971-06-05,,ES,04159,Phone,2023-01-31,24.7,No,No internet service,No internet service,No internet service,No internet service,2.0,No,2023-01-31,7,103.12,53
031a84a74cad5093eb9fd2713758ad7a,Female,No,Bank transfer (automatic),0,2018-02-05,No,1971-09-13,,ES,46451,Store,2023-01-31,68.7,DSL,Yes,No,No,Yes,2.0,Yes,2023-01-31,8,164.37,53
031e6c3621dc46390b53004d81bdb75a,Female,No,Mailed check,0,2020-09-21,Yes,1952-12-28,,ES,48516,Phone,2023-01-31,25.7,No,No internet service,No internet service,No internet service,No internet service,2.0,No,2023-01-31,13,284.04,72
0326278ed58f3b44e1c195ea15852f39,Male,No,Mailed check,0,2022-11-17,No,1994-10-18,,ES,09067,Store,2023-01-31,90.75,Fiber optic,Yes,No,No,No,2.0,Yes,2023-01-31,6,101.89,30
03360f44806901a577eae24fa06065dc,Female,Yes,Mailed check,0,2020-02-18,No,1983-09-09,,ES,07510,Internet,2023-01-31,113.2,Fiber optic,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,13,234.06,41
035ead58200d9db3bf4a3916eb604403,Female,Yes,Credit card (automatic),0,2020-04-23,Yes,2000-05-23,,ES,06115,Store,2023-01-31,53.75,DSL,No,Yes,No,Yes,1.0,No,2023-01-31,11,125.47,24
03685b79525d8adf545a8c2039dbf9de,Male,Yes,Bank transfer (automatic),0,2018-02-07,Yes,1938-11-05,2023-05-28,ES,42005,Internet,2023-01-31,93.85,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,4,75.17,86
038d2b8a921d2dd675676f6ac9703cd6,Male,No,Mailed check,2,2019-03-16,Yes,1987-07-19,,ES,51479,Phone,2023-01-31,81.0,DSL,Yes,No,Yes,Yes,1.0,Yes,2023-01-31,9,175.01,37
03b3aba210159bba2415dd3801a4c50f,Female,Yes,Credit card (automatic),0,2018-03-06,No,1991-08-17,,ES,28113,Store,2023-01-31,71.1,DSL,Yes,Yes,Yes,Yes,2.0,No,2023-01-31,12,211.85,33
03c05679b7f36faece211245fa61a87e,Male,No,Credit card (automatic),0,2017-01-07,Yes,1969-10-06,,ES,46385,Internet,2023-01-31,92.3,DSL,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,5,52.09,55
03d8346b3fe17c2a835e213b10ba1140,Male,Yes,Mailed check,2,2022-05-01,Yes,1982-06-26,,ES,44235,Internet,2023-01-31,19.35,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,12,272.79,42
03f01524439273f4f0a4e3502bb22034,Male,Yes,Electronic check,0,2022-12-22,No,1987-10-02,2023-06-19,ES,05132,Store,2023-01-31,35.45,DSL,No,No,No,No,0.0,Yes,2023-01-31,2,48.34,37
04036e2d2297654a7f86d7bbaee24300,Female,Yes,Mailed check,2,2021-07-22,Yes,1993-02-10,,ES,06648,Phone,2023-01-31,20.25,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,4,98.04,31
04134530cdbaeaaf7aa6dfe8fae32a2f,Male,Yes,Electronic check,0,2022-12-13,No,1944-09-06,2023-07-18,ES,27643,Store,2023-01-31,74.4,Fiber optic,No,No,No,No,2.0,No,2023-01-31,1,12.39,80
0419a28d3b15bb53171adecaf670db95,Female,Yes,Mailed check,0,2022-08-28,No,1985-11-18,,ES,29242,Store,2023-01-31,85.3,Fiber optic,No,Yes,No,No,1.0,Yes,2023-01-31,12,120.29,39
041faeceebaffecaf01f622def4f9d63,Male,No,Credit card (automatic),0,2020-05-14,No,2008-10-24,,ES,11412,Store,2023-01-31,20.35,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,12,197.27,16
0425b2bb9ad19423256916e98ae2ddf9,Female,Yes,Mailed check,1,2019-10-20,Yes,1977-08-12,,ES,31175,Internet,2023-01-31,59.85,DSL,No,No,Yes,No,1.0,Yes,2023-01-31,13,284.61,47
042a43c3567bc385a344bdbd8c131d43,Female,Yes,Electronic check,0,2020-07-24,No,1951-06-27,2023-09-06,ES,40425,Phone,2023-01-31,40.3,DSL,No,No,Yes,No,0.0,Yes,2023-01-31,3,30.43,73
043d39e14471c83c23b87614ec5c6b76,Male,No,Electronic check,0,2017-07-20,Yes,1992-05-22,,ES,18552,Phone,2023-01-31,95.3,Fiber optic,No,Yes,Yes,No,2.0,Yes,2023-01-31,9,128.73,32
0471f727ac1047ddc4dcc514ecc4e099,Male,No,Bank transfer (automatic),0,2021-01-28,No,2003-05-21,,ES,09603,Store,2023-01-31,54.6,DSL,No,No,No,Yes,2.0,No,2023-01-31,3,32.01,21
047ca9176dfe6ed726064e30b37ee016,Female,Yes,Credit card (automatic),0,2017-04-09,Yes,1983-01-13,,ES,19320,Phone,2023-01-31,61.45,DSL,No,Yes,No,No,1.0,Yes,2023-01-31,6,134.54,41
0486937a26e84139773e1e8c93bfbf0e,Female,No,Credit card (automatic),0,2018-10-28,No,1980-03-27,,ES,36367,Phone,2023-01-31,87.55,Fiber optic,No,No,No,No,1.0,Yes,2023-01-31,13,277.82,44
04a7b14b558c68c0a959ac5e2db065b3,Female,No,Bank transfer (automatic),1,2017-01-11,Yes,2006-04-03,,ES,47527,Phone,2023-01-31,65.7,DSL,Yes,Yes,Yes,Yes,0.0,Yes,2023-01-31,8,178.21,18
04b5971b636a4f599e6b21d00ce95b82,Male,Yes,Electronic check,0,2022-09-26,No,1941-08-18,,ES,22514,Phone,2023-01-31,94.75,Fiber optic,No,No,Yes,No,1.0,Yes,2023-01-31,6,86.32,83
04b77ab1ae2e85230c172952dc395b0e,Female,No,Mailed check,0,2022-12-01,No,1994-03-20,,ES,26366,Phone,2023-01-31,19.15,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,13,198.26,30
04edbbb5afd7751819c5db8b74c46e8a,Female,Yes,Electronic check,0,2017-01-08,Yes,2010-05-03,,ES,19109,Phone,2023-01-31,110.75,Fiber optic,Yes,Yes,Yes,No,2.0,Yes,2023-01-31,4,95.24,14
0515495c4cb5febd1a5e4bd4c62b2200,Female,Yes,Mailed check,0,2022-09-24,No,2008-09-27,,ES,16480,Store,2023-01-31,80.3,Fiber optic,No,Yes,No,No,2.0,No,2023-01-31,5,84.75,16
05197843da792b50be796ceb467551a3,Female,Yes,Electronic check,2,2022-12-05,No,1979-03-04,,ES,38626,Phone,2023-01-31,89.35,Fiber optic,No,No,No,No,1.0,Yes,2023-01-31,7,122.57,45
0524e11f6bfe2ca336d15011c2c3f91e,Female,Yes,Electronic check,0,2022-11-08,No,1980-08-02,2023-06-05,ES,26335,Internet,2023-01-31,95.15,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,2,42.59,44
0528c11620b773f80aa0246864a47d04,Female,Yes,Credit card (automatic),0,2017-03-10,Yes,1999-07-02,,ES,47607,Store,2023-01-31,94.8,DSL,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,12,145.24,25
052d2235bf1b25bba395856f89337534,Male,Yes,Electronic check,0,2020-06-27,No,1974-11-23,,ES,13565,Store,2023-01-31,71.05,DSL,No,Yes,No,Yes,2.0,Yes,2023-01-31,6,135.37,50
05495142dec8983bf549aee4c67ee70e,Male,No,Mailed check,0,2017-07-11,Yes,2003-03-13,,ES,29002,Internet,2023-01-31,96.6,Fiber optic,Yes,Yes,Yes,Yes,2.0,No,2023-01-31,11,228.95,21
0550ef2fdc2439f7350036fb167f2687,Female,No,Bank transfer (automatic),0,2017-05-18,Yes,2006-03-08,,ES,42176,Phone,2023-01-31,58.25,DSL,Yes,No,No,Yes,2.0,No,2023-01-31,14,285.48,18
0551d54dcfa520b0f23f71b11d5f90d6,Female,Yes,Electronic check,0,2022-10-19,No,1994-04-27,,ES,06430,Store,2023-01-31,70.15,Fiber optic,No,No,No,No,1.0,No,2023-01-31,5,83.2,30
0559cbc2d32202ea60fb69aeab5ebce0,Male,Yes,Electronic check,0,2022-10-12,No,1946-10-15,2023-05-07,ES,22028,Phone,2023-01-31,77.0,Fiber optic,No,No,No,No,2.0,No,2023-01-31,1,15.57,78
0560ab531bf2f85c65df9ef2224c9fe3,Male,No,Bank transfer (automatic),0,2017-11-08,No,1985-12-07,,ES,20327,Store,2023-01-31,69.4,DSL,Yes,Yes,Yes,Yes,2.0,No,2023-01-31,9,126.63,39
0573458c5dd80059aa2fb98e30f7abe6,Male,No,Credit card (automatic),1,2020-07-12,No,1980-05-05,,ES,47429,Phone,2023-01-31,64.5,DSL,No,Yes,Yes,No,1.0,Yes,2023-01-31,11,187.14,44
057473b2ae9cbe07cf8f3744fb113fb9,Female,No,Bank transfer (automatic),1,2019-04-09,Yes,1994-03-07,,ES,13095,Store,2023-01-31,51.0,DSL,No,Yes,Yes,Yes,0.0,Yes,2023-01-31,9,172.65,30
05755c6c736057a1c2d511c5a5dd5419,Female,Yes,Mailed check,2,2020-10-15,Yes,1990-07-15,,ES,30495,Phone,2023-01-31,20.55,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,11,155.32,34
057d936f122c0b2a27959cf4fcc2fe61,Female,Yes,Electronic check,0,2020-10-08,No,1973-10-01,,ES,09469,Store,2023-01-31,89.2,Fiber optic,No,No,Yes,Yes,1.0,Yes,2023-01-31,9,221.01,51
058717c4daadb9b9a30edf65bc7ccaef,Female,Yes,Electronic check,0,2022-06-16,No,1951-09-12,,ES,41190,Internet,2023-01-31,64.95,DSL,No,Yes,Yes,No,1.0,Yes,2023-01-31,6,154.23,73
05a8c555708333193d14e4e148adf752,Female,Yes,Electronic check,0,2022-12-25,No,1946-02-06,2023-07-25,ES,33374,Phone,2023-01-31,73.0,Fiber optic,No,Yes,No,No,1.0,No,2023-01-31,1,24.64,78
05b47514a708b6a118f068eea4f84330,Male,Yes,Electronic check,0,2021-10-23,No,1948-03-17,2023-07-25,ES,02559,Phone,2023-01-31,79.4,Fiber optic,No,No,No,No,1.0,Yes,2023-01-31,3,36.47,76
05c29ecc23cb07b7c8840e3e3d9f8cd0,Male,Yes,Bank transfer (automatic),0,2022-08-05,No,2004-11-06,,ES,47519,Store,2023-01-31,65.6,DSL,No,Yes,No,Yes,1.0,Yes,2023-01-31,11,178.1,20
05ce36b91f5afd4f9cd434c6a674b5ca,Male,Yes,Credit card (automatic),0,2017-02-14,Yes,1967-10-14,,ES,22007,Internet,2023-01-31,104.15,Fiber optic,No,Yes,No,Yes,2.0,Yes,2023-01-31,4,101.05,57
05e019e010c52f6510cb97243f8eb828,Male,Yes,Bank transfer (automatic),0,2021-03-01,No,1942-06-09,2023-03-12,ES,42216,Phone,2023-01-31,90.5,Fiber optic,No,No,No,Yes,2.0,Yes,2023-01-31,2,30.57,82
05f29d9246fbf14864f4414a15dedf08,Female,Yes,Mailed check,0,2017-08-28,No,1971-11-27,,ES,35261,Store,2023-01-31,59.6,DSL,Yes,Yes,No,Yes,1.0,No,2023-01-31,13,269.11,53
05f5002de9ace91ea628494b1eca2f50,Female,No,Mailed check,2,2021-02-14,Yes,1970-07-23,,ES,27443,Phone,2023-01-31,34.6,DSL,Yes,No,No,Yes,0.0,No,2023-01-31,8,137.4,54
06009b7ed49df36c5e1dbe22c503f389,Female,Yes,Electronic check,0,2022-11-11,No,1958-02-01,2023-03-17,ES,08447,Store,2023-01-31,69.6,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,34.48,66
061919277e13b8e2e46d74b74935139e,Female,No,Credit card (automatic),0,2022-09-28,No,1979-05-24,2023-08-02,ES,32186,Store,2023-01-31,50.7,DSL,No,Yes,No,No,1.0,No,2023-01-31,8,138.26,45
062644a4259c24ba019626808b20de10,Female,Yes,Credit card (automatic),1,2021-03-07,No,1986-01-04,,ES,43246,Store,2023-01-31,49.45,DSL,No,No,Yes,No,0.0,Yes,2023-01-31,13,293.2,39
06397748a791d6b949e5491af5b3694c,Female,Yes,Electronic check,0,2017-03-15,Yes,1960-03-26,,ES,39566,Phone,2023-01-31,113.65,Fiber optic,Yes,Yes,Yes,Yes,2.0,Yes,2023-01-31,12,217.0,64
064420409b04f05b039e06d170fef4d8,Female,No,Electronic check,0,2022-11-12,No,1972-08-10,,ES,07240,Internet,2023-01-31,51.4,DSL,No,Yes,No,No,0.0,Yes,2023-01-31,5,103.97,52
06450c5226e1404dc55508e9cac72713,Female,No,Mailed check,1,2022-08-07,No,1993-05-11,2023-04-22,ES,47588,Store,2023-01-31,46.0,DSL,No,No,No,No,1.0,No,2023-01-31,4,62.88,31
064f5d5c1c29d995559458d696ead67c,Male,Yes,Electronic check,0,2020-10-04,No,1980-06-16,,ES,20137,Phone,2023-01-31,81.3,Fiber optic,No,No,Yes,No,2.0,No,2023-01-31,4,91.25,44
0654724df4ba5f4e4aa9a6a0cf637eba,Male,No,Mailed check,1,2022-12-02,No,2008-03-13,2023-03-21,ES,35606,Internet,2023-01-31,19.75,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,4,66.68,16
0669d138f7a01dd562c959b6484df459,Male,Yes,Bank transfer (automatic),0,2017-01-06,Yes,2010-11-19,,ES,42241,Internet,2023-01-31,67.8,DSL,Yes,Yes,Yes,Yes,2.0,No,2023-01-31,7,99.89,14
067de2b73ec09c920525255b392c8d20,Female,No,Credit card (automatic),0,2021-01-19,No,2002-12-11,,ES,23258,Store,2023-01-31,20.45,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,7,165.3,22
06a60eb754d3e32401f4562071782e21,Female,Yes,Electronic check,0,2022-12-18,No,1985-01-04,2023-09-16,ES,04164,Store,2023-01-31,75.7,Fiber optic,No,Yes,No,No,1.0,No,2023-01-31,2,38.66,40
06af5a2f3dd9d35906f5265dfa9c4d99,Male,No,Bank transfer (automatic),0,2017-06-17,Yes,1957-12-27,,ES,20059,Phone,2023-01-31,102.9,Fiber optic,No,Yes,No,Yes,2.0,Yes,2023-01-31,7,165.68,67
06b4031b8c0f3308216a5437958a9aeb,Female,Yes,Electronic check,0,2022-09-21,No,1982-12-17,,ES,22109,Phone,2023-01-31,80.15,Fiber optic,Yes,No,No,No,2.0,No,2023-01-31,14,147.08,42
06bfe5f09cc303e17c83eb7e80e8c0cf,Male,No,Bank transfer (automatic),1,2022-05-13,No,1997-01-05,,ES,30117,Phone,2023-01-31,19.45,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,12,127.9,28
