customerid,gender,paperlessbilling,paymentmethod,children,contract_date,married,birth_date,churn_date,country,zipcode,contract_channel,billing_date,monthlycharges,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,phone_lines,streaming,date,tenure_months,tenure_penalty,age,probabilidad_churn,nivel_riesgo
f888ba953e1d0d9b700ad7fc680c819f,Female,Yes,Electronic check,1,2022-06-12,No,1965-09-10,,ES,3614,Phone,2023-01-31,71.05,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,71.25,59,0.9764635712631788,Muy Alto
e9817e2e12354ae379eb9f32ff9c2599,Female,Yes,Electronic check,0,2021-11-23,No,1954-04-07,,ES,23010,Store,2023-01-31,46.35,DSL,No,No,No,No,0.0,Yes,2023-01-31,4,67.65,70,0.9764597806314955,Muy Alto
73dfacc259255cf56350df9cf63a5295,Male,Yes,Credit card (automatic),0,2019-08-16,No,1992-03-02,,ES,5076,Internet,2023-01-31,99.65,Fiber optic,No,Yes,No,Yes,1.0,Yes,2023-01-31,3,63.85,32,0.9759692426289369,Muy Alto
dec1c7be6a3fb4d9396f39ac4eca6164,Male,Yes,Bank transfer (automatic),0,2020-10-15,No,1995-01-25,,ES,19146,Phone,2023-01-31,100.5,Fiber optic,No,No,Yes,No,2.0,Yes,2023-01-31,3,64.83,29,0.9757480767447799,Muy Alto
c4a128a77a5a17d9444b74f127423106,Male,Yes,Credit card (automatic),0,2019-11-18,No,1976-05-19,,ES,22608,Internet,2023-01-31,95.1,Fiber optic,No,Yes,Yes,No,2.0,Yes,2023-01-31,3,45.96,48,0.9747955402203563,Muy Alto
fcf3a90ba8fbf8f1dd5e7fcc47dbaa86,Male,Yes,Electronic check,0,2017-01-13,Yes,1982-08-04,,ES,47552,Phone,2023-01-31,108.4,Fiber optic,No,Yes,Yes,Yes,2.0,Yes,2023-01-31,3,46.74,42,0.9745445558464999,Muy Alto
9fae82c371387d0f5923f68a24bc7b0b,Male,Yes,Electronic check,1,2022-01-23,Yes,1981-04-23,,ES,12637,Internet,2023-01-31,49.2,DSL,Yes,No,No,No,1.0,No,2023-01-31,3,63.26,43,0.9739236188148734,Muy Alto
ce2781a66fdfdce9c2e318e6bd37f407,Female,Yes,Electronic check,2,2022-05-18,Yes,1988-03-04,,ES,21059,Internet,2023-01-31,45.45,DSL,No,No,No,No,1.0,No,2023-01-31,4,48.79,36,0.973008242622027,Muy Alto
e9b04645dc7637d467aadeb607f66d47,Female,Yes,Electronic check,0,2017-10-24,Yes,1939-08-24,,ES,10561,Store,2023-01-31,103.5,Fiber optic,No,Yes,Yes,No,2.0,Yes,2023-01-31,3,43.03,85,0.972196551645438,Muy Alto
c6cc40e5a1699d39f928e50f369eac2e,Male,Yes,Electronic check,0,2022-10-07,No,1997-08-03,,ES,13085,Store,2023-01-31,92.0,Fiber optic,No,No,No,No,1.0,Yes,2023-01-31,3,46.85,27,0.9709168299327277,Muy Alto
1ffbe8ccbbec186fbf561cb1108f3ad8,Female,Yes,Electronic check,0,2021-02-11,Yes,1947-06-07,,ES,27548,Internet,2023-01-31,95.1,Fiber optic,Yes,No,No,No,1.0,Yes,2023-01-31,4,53.41,77,0.9707839285821283,Muy Alto
b7f756723a07c939b6ace0c508eb8f7e,Male,Yes,Credit card (automatic),0,2017-05-12,Yes,1955-08-04,,ES,2136,Phone,2023-01-31,80.35,Fiber optic,No,No,Yes,No,2.0,No,2023-01-31,4,93.67,69,0.9702595910042193,Muy Alto
a415dac6d50bbeb935e63d6b82d66c72,Male,No,Electronic check,0,2022-07-09,No,1971-12-27,,ES,48490,Internet,2023-01-31,59.45,DSL,No,Yes,No,No,1.0,Yes,2023-01-31,4,64.47,53,0.9694962332529048,Muy Alto
0f0cf5111efff1c26c688c11e6e9fc95,Female,Yes,Electronic check,0,2019-06-21,No,1949-06-13,,ES,1260,Phone,2023-01-31,90.25,Fiber optic,No,Yes,No,No,2.0,Yes,2023-01-31,3,76.08,75,0.9687944405119946,Muy Alto
1483ec77e4afc2439ee5b2277bb9568f,Female,Yes,Mailed check,0,2021-10-05,No,2005-12-06,,ES,19599,Phone,2023-01-31,48.8,DSL,No,No,No,No,2.0,No,2023-01-31,3,51.07,19,0.9685067661887473,Muy Alto
fb99944f52e343bcc73730eaf04d9e9c,Female,No,Electronic check,0,2022-12-15,No,1983-10-25,,ES,13256,Phone,2023-01-31,25.25,DSL,No,No,No,No,0.0,No,2023-01-31,3,53.09,41,0.9683599084437005,Muy Alto
bba5a10db36bc7b459e5a98dff5d71ea,Female,Yes,Electronic check,0,2018-02-24,No,1934-02-25,,ES,11111,Internet,2023-01-31,99.5,Fiber optic,No,No,Yes,No,2.0,Yes,2023-01-31,3,54.46,90,0.967541094138473,Muy Alto
43c5e462f9862e0cfb959c22e74c8eee,Female,Yes,Bank transfer (automatic),0,2018-03-15,No,1968-02-02,,ES,8000,Store,2023-01-31,79.8,Fiber optic,Yes,No,No,No,2.0,No,2023-01-31,4,54.8,56,0.9666738165037131,Muy Alto
95e8006faf4d2b1118f266a8445bbb43,Male,No,Mailed check,0,2020-09-07,Yes,1987-04-12,,ES,45339,Internet,2023-01-31,54.35,DSL,Yes,No,No,Yes,1.0,No,2023-01-31,4,54.18,37,0.9660605576115876,Muy Alto
da021c11979aeeed41d2aee39f3dba8c,Female,Yes,Mailed check,0,2022-12-03,No,1942-09-17,,ES,38009,Phone,2023-01-31,70.6,Fiber optic,No,No,No,No,1.0,No,2023-01-31,5,70.63,82,0.9657107475213258,Muy Alto
398462acbc26945f6cb90abd2c27dee9,Female,No,Mailed check,0,2018-12-03,No,1943-07-21,,ES,18645,Phone,2023-01-31,43.8,DSL,No,No,No,No,1.0,No,2023-01-31,3,56.37,81,0.9649630470953652,Muy Alto
d9d3e9424f2e80ef4a5eb2109629fcc3,Female,No,Bank transfer (automatic),0,2021-09-02,No,1996-11-12,,ES,50276,Phone,2023-01-31,75.1,Fiber optic,No,Yes,No,No,1.0,No,2023-01-31,3,42.99,28,0.9632908271272909,Muy Alto
0c3700072611f22faa2d17081d97a0ad,Female,No,Electronic check,0,2020-12-08,Yes,2001-06-13,,ES,44142,Store,2023-01-31,54.1,DSL,No,Yes,No,No,2.0,No,2023-01-31,4,63.97,23,0.9632618127465876,Muy Alto
5a1713f36405c94916aa7c64e737f4b7,Male,Yes,Bank transfer (automatic),0,2021-07-03,Yes,1989-05-16,,ES,18296,Phone,2023-01-31,44.35,DSL,No,No,No,No,1.0,No,2023-01-31,3,58.87,35,0.9631909033604295,Muy Alto
1ffa71362b316840a727c468e89bce8b,Female,No,Mailed check,0,2021-06-23,Yes,1985-04-05,,ES,1380,Internet,2023-01-31,44.9,DSL,No,No,No,No,1.0,No,2023-01-31,3,40.76,39,0.9625355899177412,Muy Alto
6dac935bbdbb64eaa7c00dcfd76d6ad8,Female,No,Credit card (automatic),0,2020-09-05,Yes,1973-11-01,,ES,22405,Internet,2023-01-31,89.9,Fiber optic,No,Yes,Yes,No,1.0,Yes,2023-01-31,4,42.45,51,0.9615360071302778,Muy Alto
5662a54625f95ea578d80310cad7287d,Female,No,Electronic check,0,2021-08-05,Yes,1993-12-05,,ES,30124,Internet,2023-01-31,78.9,Fiber optic,Yes,No,No,No,2.0,No,2023-01-31,3,55.55,31,0.9604794764114902,Muy Alto
6f9341f33ffa2439c631a495a7c688c6,Male,No,Electronic check,0,2022-08-26,No,1979-10-24,,ES,7220,Internet,2023-01-31,96.55,Fiber optic,No,Yes,Yes,No,2.0,Yes,2023-01-31,4,54.53,45,0.9597578694601466,Muy Alto
b6402cc7be28f3d51c12f1120e7512af,Male,No,Bank transfer (automatic),1,2018-03-05,Yes,1997-06-13,,ES,2477,Store,2023-01-31,82.5,Fiber optic,No,No,No,No,2.0,Yes,2023-01-31,4,64.17,27,0.9597576173258401,Muy Alto
758849c6afc5c32360ba5eb39aadc09a,Male,Yes,Electronic check,0,2021-09-03,Yes,2003-02-14,,ES,18256,Phone,2023-01-31,75.4,Fiber optic,No,No,No,No,2.0,No,2023-01-31,3,39.06,21,0.9596058081134744,Muy Alto
30ffe509a62abdfb3f53f3cbebdbf23d,Female,Yes,Electronic check,0,2022-11-04,Yes,1978-02-26,,ES,28315,Store,2023-01-31,70.35,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,71.65,46,0.9588788113759362,Muy Alto
62a3833aec7861952e06210f21266435,Female,No,Mailed check,0,2022-12-04,No,1987-08-19,,ES,13635,Store,2023-01-31,24.4,DSL,No,No,No,No,0.0,No,2023-01-31,3,46.47,37,0.9585111295590191,Muy Alto
b8c58a8658bbb38cf15d38a04c076571,Male,Yes,Credit card (automatic),0,2018-07-28,Yes,1960-04-01,,ES,40434,Store,2023-01-31,99.05,Fiber optic,No,No,Yes,No,2.0,Yes,2023-01-31,4,81.15,64,0.9570247862494449,Muy Alto
fafba2d77ad5929777834ad0edb0443f,Male,Yes,Electronic check,0,2021-10-16,No,2007-04-05,,ES,5062,Internet,2023-01-31,49.0,DSL,No,No,No,No,2.0,No,2023-01-31,3,50.3,17,0.9570127957328962,Muy Alto
f45f010eb5ef9b2a3faf893780b1d211,Male,No,Mailed check,0,2021-09-07,No,1986-03-02,,ES,29208,Phone,2023-01-31,54.85,DSL,Yes,Yes,Yes,Yes,0.0,Yes,2023-01-31,4,63.26,38,0.955870401598701,Muy Alto
17aaaceb070c315d93fa3aab8cca3d61,Male,Yes,Credit card (automatic),1,2017-11-25,Yes,1973-07-10,,ES,30478,Phone,2023-01-31,94.95,Fiber optic,Yes,Yes,No,No,2.0,Yes,2023-01-31,4,57.64,51,0.9553334907166205,Muy Alto
a45dfcc078bab85c1f53c34da9eed9c6,Male,No,Electronic check,0,2018-07-23,Yes,1985-06-18,,ES,48062,Phone,2023-01-31,30.4,DSL,No,Yes,No,No,0.0,No,2023-01-31,3,59.79,39,0.9550915178175668,Muy Alto
67cde0d941481ad72f56839b1ac32b63,Female,No,Mailed check,0,2022-05-27,No,2011-02-11,,ES,32010,Store,2023-01-31,44.45,DSL,No,No,No,No,1.0,No,2023-01-31,3,59.33,13,0.9542702345214596,Muy Alto
064f5d5c1c29d995559458d696ead67c,Male,Yes,Electronic check,0,2020-10-04,No,1980-06-16,,ES,20137,Phone,2023-01-31,81.3,Fiber optic,No,No,Yes,No,2.0,No,2023-01-31,4,91.25,44,0.9542549763684456,Muy Alto
eb8503542bd7bd110045174cda48b905,Male,No,Mailed check,2,2021-04-15,No,1969-04-05,,ES,47263,Internet,2023-01-31,45.65,DSL,No,No,No,No,1.0,No,2023-01-31,3,35.14,55,0.9542103854527754,Muy Alto
215587875b62391fb2d14bca28948018,Male,No,Mailed check,0,2020-08-22,Yes,1999-10-13,,ES,15441,Store,2023-01-31,33.75,DSL,No,No,No,No,0.0,Yes,2023-01-31,3,54.98,25,0.9540967261558377,Muy Alto
139fe45f8e3476a5e54329a09e82d557,Male,Yes,Bank transfer (automatic),0,2019-07-12,No,1963-06-16,,ES,46477,Store,2023-01-31,79.35,Fiber optic,No,Yes,No,No,2.0,No,2023-01-31,3,37.17,61,0.9533827193361647,Muy Alto
bdbd54f7da12f170de0f000a2aa5638a,Female,Yes,Electronic check,0,2022-05-25,No,1996-08-21,,ES,40023,Store,2023-01-31,60.0,DSL,Yes,No,No,No,1.0,Yes,2023-01-31,3,38.32,28,0.9532839509209943,Muy Alto
7ed9efbd6da101f56d70ef5f11a9ebf6,Female,No,Electronic check,0,2020-02-02,No,2005-11-03,,ES,5212,Store,2023-01-31,24.15,DSL,No,No,No,No,0.0,No,2023-01-31,3,71.43,19,0.9529289508639038,Muy Alto
d352b4ebf3f6a3b07a48c4dfd078b49c,Female,No,Electronic check,0,2022-12-21,No,1971-05-18,,ES,28625,Phone,2023-01-31,49.95,DSL,No,Yes,No,No,1.0,No,2023-01-31,4,66.95,53,0.9510284484829319,Muy Alto
ddcc335a59772102eb142b0f8bb09d16,Male,Yes,Electronic check,1,2022-04-26,Yes,1974-01-08,,ES,33345,Phone,2023-01-31,101.5,Fiber optic,No,Yes,No,Yes,1.0,Yes,2023-01-31,4,48.39,51,0.9498694448932286,Muy Alto
327a318e7c456de6612d328987729553,Female,No,Electronic check,0,2022-11-03,No,1963-07-15,,ES,34310,Store,2023-01-31,43.95,DSL,No,No,No,No,1.0,No,2023-01-31,4,72.66,61,0.9487264461646104,Muy Alto
6f049eaaec4c32e52ba8c98ef235d2f3,Male,No,Mailed check,1,2022-11-26,Yes,1993-02-11,,ES,26520,Internet,2023-01-31,69.95,Fiber optic,No,No,No,No,1.0,No,2023-01-31,3,32.93,31,0.9481463205076993,Muy Alto
689f458b141f9faefa2f6cd150250d2c,Male,No,Mailed check,1,2017-06-28,Yes,2004-08-14,,ES,12414,Phone,2023-01-31,60.05,DSL,Yes,Yes,No,Yes,1.0,No,2023-01-31,3,60.42,20,0.9476350358762553,Muy Alto
98fed9c3df7ce56f87a171ce000b2d22,Female,No,Electronic check,0,2019-12-16,Yes,1955-07-17,,ES,10512,Internet,2023-01-31,90.0,Fiber optic,No,No,Yes,Yes,1.0,Yes,2023-01-31,3,61.95,69,0.9468859179730151,Muy Alto
488a3cd3635b9c67b3486333d6aedeb3,Male,No,Bank transfer (automatic),0,2022-06-11,Yes,1956-10-12,,ES,37026,Internet,2023-01-31,29.8,DSL,Yes,No,No,No,0.0,No,2023-01-31,3,56.97,68,0.9441249179090527,Muy Alto
9273f96d21c0bb921ac7c272c421d977,Female,No,Electronic check,0,2021-07-09,No,1964-04-09,,ES,32374,Phone,2023-01-31,77.8,Fiber optic,No,Yes,Yes,No,1.0,No,2023-01-31,4,66.93,60,0.943681745572616,Muy Alto
b182f9c801cb0bb47e2b7a18b8822afb,Female,Yes,Electronic check,0,2018-08-11,Yes,1947-02-17,,ES,24387,Phone,2023-01-31,94.0,Fiber optic,No,Yes,Yes,Yes,1.0,Yes,2023-01-31,3,43.56,77,0.9433925202725362,Muy Alto
c1c3d7caf46fbb455d0f943d1138c5ce,Female,Yes,Bank transfer (automatic),0,2017-07-21,No,1974-06-15,,ES,47095,Phone,2023-01-31,92.15,Fiber optic,No,No,Yes,No,2.0,Yes,2023-01-31,3,65.51,50,0.9432523611073478,Muy Alto
72a386d57dd4f93cd919adfbf1904f0d,Male,No,Mailed check,0,2022-05-15,No,1976-11-01,,ES,25146,Phone,2023-01-31,29.35,DSL,Yes,No,No,No,0.0,No,2023-01-31,3,50.1,48,0.9431675670807548,Muy Alto
e034e47dbdd16268cd70ed72792ccc46,Male,Yes,Electronic check,0,2018-12-22,Yes,2009-12-21,,ES,46274,Phone,2023-01-31,55.35,DSL,Yes,No,No,No,2.0,No,2023-01-31,4,62.83,15,0.9430242043626563,Muy Alto
c012ed05beda6d4a5d8af6980e02eb6c,Female,Yes,Credit card (automatic),2,2017-02-13,Yes,1998-04-23,,ES,24281,Internet,2023-01-31,95.75,Fiber optic,No,Yes,Yes,No,2.0,Yes,2023-01-31,3,53.45,26,0.9429089020047563,Muy Alto
6a0c824f313df15d2f74e32497081d9c,Male,No,Mailed check,0,2019-08-25,No,1985-06-26,,ES,38241,Phone,2023-01-31,65.0,DSL,No,No,Yes,No,2.0,Yes,2023-01-31,3,54.83,39,0.9428990175901767,Muy Alto
77bf0779ddd3510abd1fef470b378eeb,Male,No,Credit card (automatic),2,2018-06-14,Yes,1968-06-05,,ES,17525,Internet,2023-01-31,59.45,DSL,Yes,No,No,No,1.0,Yes,2023-01-31,4,41.63,56,0.942321225750924,Muy Alto
6ff6fabdbda7c35a9ebe820d676f43a1,Male,Yes,Electronic check,1,2018-12-21,Yes,1999-05-13,,ES,49136,Store,2023-01-31,39.2,DSL,Yes,No,No,No,0.0,Yes,2023-01-31,3,53.87,25,0.941649355137743,Muy Alto
4c7ca2831beb1a7c85c83f6c489c1615,Male,No,Electronic check,0,2021-06-26,No,1997-02-09,,ES,26087,Phone,2023-01-31,59.55,DSL,No,No,Yes,Yes,2.0,No,2023-01-31,3,57.55,27,0.9414780531207113,Muy Alto
e80738667d836bfc800e18607ab21b63,Male,Yes,Electronic check,1,2021-05-23,Yes,1993-10-03,,ES,33105,Phone,2023-01-31,49.6,DSL,No,No,Yes,No,1.0,No,2023-01-31,3,77.49,31,0.9413061581663505,Muy Alto
a650eb8a6dd1c42dab48b3c6d5c9bf0f,Female,No,Electronic check,0,2019-07-28,No,1945-12-04,,ES,35207,Store,2023-01-31,55.65,DSL,No,No,Yes,No,2.0,No,2023-01-31,3,61.17,79,0.9402596377881293,Muy Alto
e3c0aa006c6f948bab229bf784e7d0a0,Male,Yes,Electronic check,0,2022-06-28,Yes,1963-06-02,,ES,23193,Internet,2023-01-31,74.85,Fiber optic,No,No,No,No,2.0,No,2023-01-31,5,85.86,61,0.9400080056861363,Muy Alto
f7f24b064840ffd35a2a2592712e3d38,Female,Yes,Bank transfer (automatic),0,2022-11-22,No,1939-01-13,,ES,28441,Internet,2023-01-31,83.8,Fiber optic,No,Yes,No,No,1.0,Yes,2023-01-31,4,79.84,86,0.9400001659293852,Muy Alto
d85ec7a797c4688af0d7db1e2770c2eb,Male,No,Electronic check,0,2021-07-02,Yes,1992-08-04,,ES,27050,Store,2023-01-31,78.2,Fiber optic,No,No,Yes,Yes,1.0,No,2023-01-31,3,40.12,32,0.9395017597842193,Muy Alto
84590afc1274058e9e3e6428d0f388c3,Male,No,Electronic check,0,2020-02-14,No,2002-05-04,,ES,22163,Internet,2023-01-31,95.5,Fiber optic,No,No,Yes,Yes,2.0,Yes,2023-01-31,3,63.88,22,0.9386247179942483,Muy Alto
a54387054e91a42ba10497af1ea40a09,Female,No,Credit card (automatic),0,2017-10-26,No,1999-04-22,,ES,9126,Store,2023-01-31,58.55,DSL,No,No,Yes,No,1.0,Yes,2023-01-31,3,63.66,25,0.9384819136100755,Muy Alto
aa4024d8bc5bf0cced5ee232e6095133,Male,No,Electronic check,0,2019-11-13,No,1988-06-09,,ES,6486,Phone,2023-01-31,69.95,DSL,Yes,Yes,Yes,Yes,2.0,No,2023-01-31,3,42.96,36,0.938415197812767,Muy Alto
b5b6f0dedce255350f3d66e8a152c9c7,Male,No,Electronic check,0,2022-12-16,No,1935-04-02,,ES,44111,Internet,2023-01-31,44.0,DSL,No,No,No,No,1.0,No,2023-01-31,4,47.06,89,0.9383009633948534,Muy Alto
9892c9771d61bfed3401636f1dba7475,Male,No,Electronic check,2,2018-11-09,Yes,1991-10-10,,ES,35146,Phone,2023-01-31,75.5,DSL,Yes,No,No,Yes,1.0,Yes,2023-01-31,3,44.55,33,0.9381107133409532,Muy Alto
2b521da92dad0174b9b5b7eca84b6c2e,Male,No,Electronic check,0,2018-04-23,Yes,1975-07-10,,ES,3285,Phone,2023-01-31,107.95,Fiber optic,No,No,Yes,Yes,2.0,Yes,2023-01-31,3,47.14,49,0.9380513205054986,Muy Alto
b6f091ba29db8a2e8a2a26044ee4b07d,Female,No,Mailed check,0,2022-11-08,No,1953-08-02,,ES,10366,Internet,2023-01-31,81.5,Fiber optic,No,No,No,No,1.0,Yes,2023-01-31,4,97.99,71,0.9376834280859705,Muy Alto
9682074a23c9b6ef40a13dd81196ae7c,Female,Yes,Bank transfer (automatic),0,2020-05-24,No,1975-04-18,,ES,2407,Internet,2023-01-31,109.55,Fiber optic,Yes,No,Yes,Yes,2.0,Yes,2023-01-31,4,57.6,49,0.9367943464707007,Muy Alto
edb8b3fc1f58ffb7ebe3f8d87d904018,Female,Yes,Bank transfer (automatic),2,2018-10-07,Yes,2002-10-13,,ES,15397,Internet,2023-01-31,79.15,Fiber optic,Yes,Yes,No,No,1.0,No,2023-01-31,3,50.24,22,0.936701326846032,Muy Alto
52b9ead1fa27282346134bb12d38e040,Male,No,Mailed check,0,2021-07-22,No,1984-07-15,,ES,37040,Store,2023-01-31,33.6,DSL,Yes,No,Yes,No,0.0,No,2023-01-31,3,61.88,40,0.9363218497619087,Muy Alto
372cd10861043c2dd5eb386a35959adb,Female,No,Bank transfer (automatic),0,2017-01-04,Yes,1978-01-10,,ES,8013,Store,2023-01-31,80.45,Fiber optic,Yes,No,No,No,2.0,No,2023-01-31,3,30.32,47,0.9358417230051027,Muy Alto
e0e27ddf4dad8e2fe916a495b73045ba,Male,No,Mailed check,0,2022-12-02,No,1990-06-22,,ES,38194,Phone,2023-01-31,18.9,No,No internet service,No internet service,No internet service,No internet service,1.0,No,2023-01-31,3,38.04,34,0.9356268568998819,Muy Alto
db70e0c3bc820464195e31c4fc134e10,Female,No,Mailed check,0,2019-02-10,No,1988-11-15,,ES,1459,Store,2023-01-31,74.05,DSL,Yes,Yes,No,Yes,2.0,Yes,2023-01-31,4,44.53,36,0.9353055697841159,Muy Alto
99e31328befb59db7cee5b380d4d074e,Male,Yes,Electronic check,0,2017-12-17,Yes,1995-06-17,,ES,33009,Phone,2023-01-31,106.2,Fiber optic,Yes,Yes,No,No,2.0,Yes,2023-01-31,3,57.52,29,0.9337917417107405,Muy Alto
7ad0db0867708f915135fbfd2aa5f638,Female,Yes,Electronic check,0,2022-10-20,No,1968-01-09,,ES,9578,Phone,2023-01-31,70.25,Fiber optic,No,No,No,No,1.0,No,2023-01-31,6,107.11,57,0.933340154182529,Muy Alto
